"Type","Mod Name","ObjectIndex","Editor Id","New EID","New Mod","New Obj"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C73","ZBook2CommonMineralsMorrowind","cobLofXuiMineralsMorrowind","Cobl Main.esm","0x006C73"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C71","ZBook2CommonPracticalDefense","cobLofXuiDefenseMorrowind1","Cobl Main.esm","0x006C71"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C79","ZBook2CommonWarHistoryEmp1","cobLofXuiWarTamriel01","Cobl Main.esm","0x006C79"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C7A","ZBook2CommonWarHistoryEmp2","cobLofXuiWarTamriel01","Cobl Main.esm","0x006C79"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C78","ZBook3ValuableStudyAkaviriInvasion","cobLofXuiCostAkaviriInvasion","Cobl Main.esm","0x006C78"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C76","ZBook3ValuableTelvanniConstruction","cobLofXuiBasicsTelvanniConstruct","Cobl Main.esm","0x006C76"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x003FBC","ZBook4RarePsjjjInfluence","cobLofXuiPsjjjInfluence","Cobl Main.esm","0x003FBC"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x03266F","Bearmeat","cobTiBearMeat","Cobl Main.esm","0x003254"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x006C8B","CopperDust","cobTiCopperFilings","Cobl Main.esm","0x008361"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC8E","DiamondDust","cobGeoDiamondDust","Cobl Main.esm","0x00CC8E"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC8C","EmeraldDust","cobGeoEmeraldDust","Cobl Main.esm","0x00CC8C"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x0417DA","GargoyleHorn","cobTiGargoyleHorn","Cobl Main.esm","0x003255"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x004D2A","GoldDust","cobGeoGoldDust","Cobl Main.esm","0x004D2A"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x02EAD2","GuarMeat","cobTiGuarMeat","Cobl Main.esm","0x003256"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x0084EE","Horsemeat","cobTiHorseMeat","Cobl Main.esm","0x003257"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC92","PearlDust","cobGeoPearlDust","Cobl Main.esm","0x00CC92"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC90","RubyDust","cobGeoRubyDust","Cobl Main.esm","0x00CC90"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC8A","SapphireDust","cobGeoSapphireDust","Cobl Main.esm","0x00CC8A"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC87","SilverDust","cobGeoSilverDust","Cobl Main.esm","0x00CC87"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x00CC88","TopazDust","cobGeoTopazDust","Cobl Main.esm","0x00CC88"
"INGR","Oscuro's_Oblivion_Overhaul.esm","0x007FCF","Wolfmeat","cobTiWolfMeat","Cobl Main.esm","0x003258"
"MISC","Oscuro's_Oblivion_Overhaul.esm","0x048F80","Gold002","cobTiAyleidCoin","Cobl Main.esm","0x00191F"
"MISC","Oscuro's_Oblivion_Overhaul.esm","0x03A587","Gold002a","cobTiAyleidCoin","Cobl Main.esm","0x00191F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A75","AyleidStaff","cobAmwStaff","Cobl Main.esm","0x003A75"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00BB5C","AyleidStaffEnchDisintegrate","cobAmwStaffDisintegrate","Cobl Main.esm","0x00BB5C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A92","AyleidStaffEnchElectrocute","cobAmwStaffElectrocute","Cobl Main.esm","0x003A92"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A90","AyleidStaffEnchExhaustion","cobAmwStaffExhaustion","Cobl Main.esm","0x003A90"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051367","AyleidStaffEnchFire","cobAmwStaffFire","Cobl Main.esm","0x051369"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A8D","AyleidStaffEnchFireblast","cobAmwStaffFireblast","Cobl Main.esm","0x003A8D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051368","AyleidStaffEnchFrost","cobAmwStaffFrost","Cobl Main.esm","0x05136A"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A8E","AyleidStaffEnchFrostblast","cobAmwStaffFrostblast","Cobl Main.esm","0x003A8E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00BB59","AyleidStaffEnchMagiDrain","cobAmwStaffMagiDrain","Cobl Main.esm","0x00BB59"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00BB55","AyleidStaffEnchMasterOpen","cobAmwStaffMasterOpen","Cobl Main.esm","0x00BB55"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x004E55","AyleidStaffEnchMindFrak","cobAmwStaffMindFrak","Cobl Main.esm","0x004E55"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A91","AyleidStaffEnchParalyze","cobAmwStaffParalyze","Cobl Main.esm","0x003A91"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051366","AyleidStaffEnchShock","cobAmwStaffShock","Cobl Main.esm","0x051368"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x003A8F","AyleidStaffEnchShockblast","cobAmwStaffShockblast","Cobl Main.esm","0x003A8F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136A","WeapAyleidBattleAxe","cobAmwBattleAxe","Cobl Main.esm","0x05136C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016DF","WeapAyleidBattleAxeEnchFire","cobAmwBattleAxeFire","Cobl Main.esm","0x0016DF"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016C7","WeapAyleidBattleAxeEnchFireblast","cobAmwBattleAxeFireblast","Cobl Main.esm","0x0016C7"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016E0","WeapAyleidBattleAxeEnchFrost","cobAmwBattleAxeFrost","Cobl Main.esm","0x0016E0"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051385","WeapAyleidBattleAxeEnchFrostblast","cobAmwBattleAxeFrostblast","Cobl Main.esm","0x051387"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051384","WeapAyleidBattleAxeEnchPanic","cobAmwBattleAxePanic","Cobl Main.esm","0x051386"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016E2","WeapAyleidBattleAxeEnchShock","cobAmwBattleAxeShock","Cobl Main.esm","0x0016E2"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016C8","WeapAyleidBattleAxeEnchShockblast","cobAmwBattleAxeShockblast","Cobl Main.esm","0x05138F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137B","WeapAyleidBow","cobAmwBow","Cobl Main.esm","0x05137D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051375","WeapAyleidBowEnchFire","cobAmwBowFire","Cobl Main.esm","0x051377"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051378","WeapAyleidBowEnchFireburn","cobAmwBowFireburn","Cobl Main.esm","0x05137A"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051376","WeapAyleidBowEnchFrost","cobAmwBowFrost","Cobl Main.esm","0x051378"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051379","WeapAyleidBowEnchFrostburn","cobAmwBowFrostburn","Cobl Main.esm","0x05137B"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051377","WeapAyleidBowEnchShock","cobAmwBowShock","Cobl Main.esm","0x051379"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137A","WeapAyleidBowEnchShockburn","cobAmwBowShockburn","Cobl Main.esm","0x05137C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051374","WeapAyleidBowEnchSpeedDrain","cobAmwBowSpeedDrain","Cobl Main.esm","0x051376"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051364","WeapAyleidClaymore","cobAmwClaymore","Cobl Main.esm","0x051366"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051355","WeapAyleidClaymoreEnchDmgHealth","cobAmwClaymoreDmgHealth","Cobl Main.esm","0x051357"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051386","WeapAyleidClaymoreEnchFire","cobAmwClaymoreFire","Cobl Main.esm","0x051388"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016CD","WeapAyleidClaymoreEnchFireblast","cobAmwClaymoreFireblast","Cobl Main.esm","0x0016CD"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016CC","WeapAyleidClaymoreEnchFrost","cobAmwClaymoreFrost","Cobl Main.esm","0x0016CC"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016E8","WeapAyleidClaymoreEnchFrostblast","cobAmwClaymoreFrostblast","Cobl Main.esm","0x0016E8"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051387","WeapAyleidClaymoreEnchShock","cobAmwClaymoreShock","Cobl Main.esm","0x051389"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016EB","WeapAyleidClaymoreEnchShockblast","cobAmwClaymoreShockblast","Cobl Main.esm","0x0016EB"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016CE","WeapAyleidClaymoreEnchWeakNormal","cobAmwClaymoreWeakNormal","Cobl Main.esm","0x05134E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051361","WeapAyleidDagger","cobAmwDagger","Cobl Main.esm","0x051363"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051373","WeapAyleidDaggerEnchFire","cobAmwDaggerFire","Cobl Main.esm","0x051375"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137C","WeapAyleidDaggerEnchFireburn","cobAmwDaggerFireburn","Cobl Main.esm","0x05137E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137D","WeapAyleidDaggerEnchFrost","cobAmwDaggerFrost","Cobl Main.esm","0x05137F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137E","WeapAyleidDaggerEnchFrostburn","cobAmwDaggerFrostburn","Cobl Main.esm","0x051380"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051388","WeapAyleidDaggerEnchKaze","cobAmwDaggerKaze","Cobl Main.esm","0x05138A"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051381","WeapAyleidDaggerEnchParalyze","cobAmwDaggerParalyze","Cobl Main.esm","0x051383"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05137F","WeapAyleidDaggerEnchShock","cobAmwDaggerShock","Cobl Main.esm","0x051381"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051380","WeapAyleidDaggerEnchShockburn","cobAmwDaggerShockburn","Cobl Main.esm","0x051382"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x009A60","WeapAyleidGlaive","cobAmwGlaive","Cobl Main.esm","0x009A60"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136B","WeapAyleidGlaiveEnchAbsStr","cobAmwGlaiveAbsStr","Cobl Main.esm","0x05136D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A92B","WeapAyleidGlaiveEnchFire","cobAmwGlaiveFire","Cobl Main.esm","0x00A92B"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00AE2F","WeapAyleidGlaiveEnchFireburn","cobAmwGlaiveFireburn","Cobl Main.esm","0x00AE2F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A92C","WeapAyleidGlaiveEnchFrost","cobAmwGlaiveFrost","Cobl Main.esm","0x00A92C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A92F","WeapAyleidGlaiveEnchFrostburn","cobAmwGlaiveFrostburn","Cobl Main.esm","0x00A92F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A92D","WeapAyleidGlaiveEnchShock","cobAmwGlaiveShock","Cobl Main.esm","0x00A92D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00AE31","WeapAyleidGlaiveEnchShockburn","cobAmwGlaiveShockburn","Cobl Main.esm","0x00AE31"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136D","WeapAyleidGreatmace","cobAmwGreatmace","Cobl Main.esm","0x05136F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051356","WeapAyleidGreatmaceEnchDmgHlth","cobAmwGreatmaceDmgHlth","Cobl Main.esm","0x051358"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025CF","WeapAyleidGreatmaceEnchFire","cobAmwGreatmaceFire","Cobl Main.esm","0x051351"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D1","WeapAyleidGreatmaceEnchFireblast","cobAmwGreatmaceFireblast","Cobl Main.esm","0x0025D1"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D2","WeapAyleidGreatmaceEnchFrost","cobAmwGreatmaceFrost","Cobl Main.esm","0x0025D2"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D3","WeapAyleidGreatmaceEnchFrostblast","cobAmwGreatmaceFrostblast","Cobl Main.esm","0x0025D3"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D4","WeapAyleidGreatmaceEnchShock","cobAmwGreatmaceShock","Cobl Main.esm","0x0025D4"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D5","WeapAyleidGreatmaceEnchShockblast","cobAmwGreatmaceShockblast","Cobl Main.esm","0x0025D5"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D6","WeapAyleidGreatmaceEnchWeakNormal","cobAmwGreatmaceWeakNormal","Cobl Main.esm","0x051352"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x009A5F","WeapAyleidHalberd","cobAmwHalberd","Cobl Main.esm","0x009A5F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136C","WeapAyleidHalberdEnchAbsFat","cobAmwHalberdAbsFat","Cobl Main.esm","0x05136E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A925","WeapAyleidHalberdEnchFire","cobAmwHalberdFire","Cobl Main.esm","0x00A925"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A928","WeapAyleidHalberdEnchFireburn","cobAmwHalberdFireburn","Cobl Main.esm","0x00A928"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00AE27","WeapAyleidHalberdEnchFrost","cobAmwHalberdFrost","Cobl Main.esm","0x00AE27"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A929","WeapAyleidHalberdEnchFrostburn","cobAmwHalberdFrostburn","Cobl Main.esm","0x00A929"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A927","WeapAyleidHalberdEnchShock","cobAmwHalberdShock","Cobl Main.esm","0x00A927"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x00A92A","WeapAyleidHalberdEnchShockburn","cobAmwHalberdShockburn","Cobl Main.esm","0x00A92A"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051363","WeapAyleidLongsword","cobAmwLongsword","Cobl Main.esm","0x051365"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D8","WeapAyleidLongswordEnchDisWeap","cobAmwLongswordDisWeap","Cobl Main.esm","0x0025D8"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136E","WeapAyleidLongswordEnchFire","cobAmwLongswordFire","Cobl Main.esm","0x051370"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051372","WeapAyleidLongswordEnchFireburn","cobAmwLongswordFireburn","Cobl Main.esm","0x051374"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05136F","WeapAyleidLongswordEnchIce","cobAmwLongswordIce","Cobl Main.esm","0x051371"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051383","WeapAyleidLongswordEnchIceburn","cobAmwLongswordIceburn","Cobl Main.esm","0x051385"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051370","WeapAyleidLongswordEnchShock","cobAmwLongswordShock","Cobl Main.esm","0x051372"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051382","WeapAyleidLongswordEnchShockburn","cobAmwLongswordShockburn","Cobl Main.esm","0x051384"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051371","WeapAyleidLongswordEnchVamp","cobAmwLongswordVamp","Cobl Main.esm","0x051373"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051369","WeapAyleidMace","cobAmwMace","Cobl Main.esm","0x05136B"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0025D7","WeapAyleidMaceEnchDisArmor","cobAmwMaceDisArmor","Cobl Main.esm","0x0025D7"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016CF","WeapAyleidMaceEnchFire","cobAmwMaceFire","Cobl Main.esm","0x0016CF"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016D0","WeapAyleidMaceEnchFireburn","cobAmwMaceFireburn","Cobl Main.esm","0x05134F"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x0016D1","WeapAyleidMaceEnchIce","cobAmwMaceIce","Cobl Main.esm","0x051350"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135C","WeapAyleidMaceEnchIceburn","cobAmwMaceIceburn","Cobl Main.esm","0x05135E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135E","WeapAyleidMaceEnchShock","cobAmwMaceShock","Cobl Main.esm","0x051360"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135F","WeapAyleidMaceEnchShockburn","cobAmwMaceShockburn","Cobl Main.esm","0x051361"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051360","WeapAyleidMaceEnchVamp","cobAmwMaceVamp","Cobl Main.esm","0x051362"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051362","WeapAyleidShortsword","cobAmwShortsword","Cobl Main.esm","0x051364"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051389","WeapAyleidShortswordEnchFire","cobAmwShortswordFire","Cobl Main.esm","0x05138B"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05138C","WeapAyleidShortswordEnchFireburn","cobAmwShortswordFireburn","Cobl Main.esm","0x05138E"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05138A","WeapAyleidShortswordEnchFrost","cobAmwShortswordFrost","Cobl Main.esm","0x05138C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051352","WeapAyleidShortswordEnchFrostburn","cobAmwShortswordFrostburn","Cobl Main.esm","0x051354"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05138B","WeapAyleidShortswordEnchShock","cobAmwShortswordShock","Cobl Main.esm","0x05138D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051353","WeapAyleidShortswordEnchShockburn","cobAmwShortswordShockburn","Cobl Main.esm","0x051355"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051354","WeapAyleidShortswordEnchUndead","cobAmwShortswordUndead","Cobl Main.esm","0x051356"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051365","WeapAyleidWarAxe","cobAmwWarAxe","Cobl Main.esm","0x051367"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051357","WeapAyleidWarAxeEnchFire","cobAmwWarAxeFire","Cobl Main.esm","0x051359"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x002AC3","WeapAyleidWarAxeEnchFireburn","cobAmwWarAxeFireburn","Cobl Main.esm","0x051353"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051358","WeapAyleidWarAxeEnchFrost","cobAmwWarAxeFrost","Cobl Main.esm","0x05135A"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x051359","WeapAyleidWarAxeEnchFrostburn","cobAmwWarAxeFrostburn","Cobl Main.esm","0x05135B"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135A","WeapAyleidWarAxeEnchShock","cobAmwWarAxeShock","Cobl Main.esm","0x05135C"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135B","WeapAyleidWarAxeEnchShockburn","cobAmwWarAxeShockburn","Cobl Main.esm","0x05135D"
"WEAP","Oscuro's_Oblivion_Overhaul.esm","0x05135D","WeapAyleidWarAxeEnchSlowing","cobAmwWarAxeSlowing","Cobl Main.esm","0x05135F"
"----","The Ayleid Steps.esp",,,,,
"AMMO","The Ayleid Steps.esp","0x000CF0","AyleidArrowBASE","cobAmwArrow","Cobl Main.esm","0x051394"
"AMMO","The Ayleid Steps.esp","0x000CFE","AyleidArrowEnchBurden","cobAmwArrowBurden","Cobl Main.esm","0x051393"
"AMMO","The Ayleid Steps.esp","0x000CF8","AyleidArrowEnchDeathstrike","cobAmwArrowDeathstrike","Cobl Main.esm","0x051392"
"AMMO","The Ayleid Steps.esp","0x000CF6","AyleidArrowEnchFire","cobAmwArrowFire","Cobl Main.esm","0x051396"
"AMMO","The Ayleid Steps.esp","0x000CFB","AyleidArrowEnchFireblast","cobAmwArrowFireblast","Cobl Main.esm","0x051399"
"AMMO","The Ayleid Steps.esp","0x000CF9","AyleidArrowEnchFrost","cobAmwArrowFrost","Cobl Main.esm","0x051397"
"AMMO","The Ayleid Steps.esp","0x000CFC","AyleidArrowEnchFrostblast","cobAmwArrowFrostblast","Cobl Main.esm","0x051390"
"AMMO","The Ayleid Steps.esp","0x000CFA","AyleidArrowEnchShock","cobAmwArrowShock","Cobl Main.esm","0x051398"
"AMMO","The Ayleid Steps.esp","0x000CFD","AyleidArrowEnchShockblast","cobAmwArrowShockblast","Cobl Main.esm","0x051391"
"AMMO","The Ayleid Steps.esp","0x010EC6","AyleidArrowStandard","cobAmwArrowStandard","Cobl Main.esm","0x051395"
"WEAP","The Ayleid Steps.esp","0x003A75","AyleidStaff","cobAmwStaff","Cobl Main.esm","0x003A75"
"WEAP","The Ayleid Steps.esp","0x00ABA0","AyleidStaffEnchCommand","cobAmwStaffMindFrak","Cobl Main.esm","0x004E55"
"WEAP","The Ayleid Steps.esp","0x00BB5C","AyleidStaffEnchDisintegrate","cobAmwStaffDisintegrate","Cobl Main.esm","0x00BB5C"
"WEAP","The Ayleid Steps.esp","0x003A92","AyleidStaffEnchElectrocute","cobAmwStaffElectrocute","Cobl Main.esm","0x003A92"
"WEAP","The Ayleid Steps.esp","0x003A90","AyleidStaffEnchExhaustion","cobAmwStaffExhaustion","Cobl Main.esm","0x003A90"
"WEAP","The Ayleid Steps.esp","0x003A8B","AyleidStaffEnchFire","cobAmwStaffFire","Cobl Main.esm","0x051369"
"WEAP","The Ayleid Steps.esp","0x003A8D","AyleidStaffEnchFireblast","cobAmwStaffFireblast","Cobl Main.esm","0x003A8D"
"WEAP","The Ayleid Steps.esp","0x003A8C","AyleidStaffEnchFrost","cobAmwStaffFrost","Cobl Main.esm","0x05136A"
"WEAP","The Ayleid Steps.esp","0x003A8E","AyleidStaffEnchFrostblast","cobAmwStaffFrostblast","Cobl Main.esm","0x003A8E"
"WEAP","The Ayleid Steps.esp","0x00BB59","AyleidStaffEnchMagiDrain","cobAmwStaffMagiDrain","Cobl Main.esm","0x00BB59"
"WEAP","The Ayleid Steps.esp","0x00BB55","AyleidStaffEnchMasterOpen","cobAmwStaffMasterOpen","Cobl Main.esm","0x00BB55"
"WEAP","The Ayleid Steps.esp","0x003A91","AyleidStaffEnchParalyze","cobAmwStaffParalyze","Cobl Main.esm","0x003A91"
"WEAP","The Ayleid Steps.esp","0x003A89","AyleidStaffEnchShock","cobAmwStaffShock","Cobl Main.esm","0x051368"
"WEAP","The Ayleid Steps.esp","0x003A8F","AyleidStaffEnchShockblast","cobAmwStaffShockblast","Cobl Main.esm","0x003A8F"
"WEAP","The Ayleid Steps.esp","0x000CEC","WeapAyleidBattleAxe","cobAmwBattleAxe","Cobl Main.esm","0x05136C"
"WEAP","The Ayleid Steps.esp","0x0016DF","WeapAyleidBattleAxeEnchFire","cobAmwBattleAxeFire","Cobl Main.esm","0x0016DF"
"WEAP","The Ayleid Steps.esp","0x0E1714","WeapAyleidBattleAxeEnchFireblast","cobAmwBattleAxeFireblast","Cobl Main.esm","0x0016C7"
"WEAP","The Ayleid Steps.esp","0x0016E0","WeapAyleidBattleAxeEnchFrost","cobAmwBattleAxeFrost","Cobl Main.esm","0x0016E0"
