Type,Mod,Object Id,Editor Id,Name
MISC,Mart's Monster Mod.esm,0x002774,HideRabbit,"Pelt, Rabbit"
MISC,Mart's Monster Mod.esm,0x014B08,HideRuined,"Pelt, Ruined"
MISC,Mart's Monster Mod.esm,0x00396E,HideSnowBear,"Pelt, Snow Bear"
MISC,Mart's Monster Mod.esm,0x00651E,HideTimberWolf,"Pelt, Timber Wolf"
MISC,Mart's Monster Mod.esm,0x00666F,HideWerewolf,"Pelt, Werewolf"
MISC,Mart's Monster Mod.esm,0x0121B5,LeopardHide01,"Pelt, Leopard"
MISC,Mart's Monster Mod.esm,0x0020B4,PantherHide01,"Pelt, Panther"
BOOK,more_broadsheets.esp,0x000CE7,Broadsheet01AnvilCount,"BHC, Anvil Count Returns!"
BOOK,more_broadsheets.esp,0x0011D3,Broadsheet01Flowers,"BHC, Crime Spree!"
BOOK,more_broadsheets.esp,0x0011D8,Broadsheet01InvisibleTown,"BHC, Invisible Town!"
BOOK,more_broadsheets.esp,0x000CE8,Broadsheet01Levitation,"BHC, Can you fly?"
BOOK,more_broadsheets.esp,0x0011D6,Broadsheet01Necromancers,"BHC, Necromancers!"
BOOK,more_broadsheets.esp,0x000CE6,Broadsheet01VampireKilling,"BHC, Vampire Killing in Bruma!"
ALCH,Oblivion.esm,0x04E937,MS39NirnrootPotionA,Elixir of Exploration I
ALCH,Oblivion.esm,0x04E938,MS39NirnrootPotionB,Elixir of Exploration II
ALCH,Oblivion.esm,0x04E939,MS39NirnrootPotionC,Elixir of Exploration III
ALCH,Oblivion.esm,0x04E93A,MS39NirnrootPotionD,Elixir of Exploration IV
ALCH,Oblivion.esm,0x0984A5,PotionBurden,X Loading II
ALCH,Oblivion.esm,0x00920D,PotionBurdenS,X Loading III
ALCH,Oblivion.esm,0x00920C,PotionBurdenW,X Loading I
ALCH,Oblivion.esm,0x088B1C,PotionChameleon,Glasscoat II
ALCH,Oblivion.esm,0x088B1E,PotionChameleonS,Glasscoat III
ALCH,Oblivion.esm,0x088B1D,PotionChameleonW,Glasscoat I
ALCH,Oblivion.esm,0x00920E,PotionCureDisease,Cure Disease
ALCH,Oblivion.esm,0x00922E,PotionCureParlaysis,Cure Paralysis
ALCH,Oblivion.esm,0x00920F,PotionCurePoison,Cure Poison
ALCH,Oblivion.esm,0x08DC58,PotionDamageAttrAgility,X de Fumbling II
ALCH,Oblivion.esm,0x08DC5A,PotionDamageAttrAgilityS,X de Fumbling III
ALCH,Oblivion.esm,0x08DC59,PotionDamageAttrAgilityW,X de Fumbling I
ALCH,Oblivion.esm,0x08DC5C,PotionDamageAttrEndurance,X de Frailty II
ALCH,Oblivion.esm,0x08DC5D,PotionDamageAttrEnduranceS,X de Frailty III
ALCH,Oblivion.esm,0x08DC5B,PotionDamageAttrEnduranceW,X de Frailty I
ALCH,Oblivion.esm,0x08DC5E,PotionDamageAttrIntelligence,X de Idiocy II
ALCH,Oblivion.esm,0x08DC60,PotionDamageAttrIntelligenceS,X de Idiocy III
ALCH,Oblivion.esm,0x08DC5F,PotionDamageAttrIntelligenceW,X de Idiocy I
ALCH,Oblivion.esm,0x08DC61,PotionDamageAttrLuck,X de Doom II
ALCH,Oblivion.esm,0x08DC63,PotionDamageAttrLuckS,X de Doom III
ALCH,Oblivion.esm,0x08DC62,PotionDamageAttrLuckW,X de Doom I
ALCH,Oblivion.esm,0x08DC64,PotionDamageAttrPersonality,X de Enmity II
ALCH,Oblivion.esm,0x08DC66,PotionDamageAttrPersonalityS,X de Enmity III
ALCH,Oblivion.esm,0x08DC65,PotionDamageAttrPersonalityW,X de Enmity I
ALCH,Oblivion.esm,0x08DC67,PotionDamageAttrSpeed,X de Slowness II
ALCH,Oblivion.esm,0x08DC69,PotionDamageAttrSpeedS,X de Slowness III
ALCH,Oblivion.esm,0x08DC68,PotionDamageAttrSpeedW,X de Slowness I
ALCH,Oblivion.esm,0x08DC6A,PotionDamageAttrStrength,X de Debility II
ALCH,Oblivion.esm,0x08DC6C,PotionDamageAttrStrengthS,X de Debility III
ALCH,Oblivion.esm,0x08DC6B,PotionDamageAttrStrengthW,X de Debility I
ALCH,Oblivion.esm,0x08DC6D,PotionDamageAttrWillpower,X de Apathy II
ALCH,Oblivion.esm,0x08DC6F,PotionDamageAttrWillpowerS,X de Apathy III
ALCH,Oblivion.esm,0x08DC6E,PotionDamageAttrWillpowerW,X de Apathy I
ALCH,Oblivion.esm,0x08DC70,PotionDamageFatigue,X de Tiring II
ALCH,Oblivion.esm,0x08DC72,PotionDamageFatigueS,X de Tiring III
ALCH,Oblivion.esm,0x08DC71,PotionDamageFatigueW,X de Tiring I
ALCH,Oblivion.esm,0x08DC73,PotionDamageHealth,X de Wounding II
ALCH,Oblivion.esm,0x08DC75,PotionDamageHealthS,X de Wounding III
ALCH,Oblivion.esm,0x08DC74,PotionDamageHealthW,X de Wounding I
ALCH,Oblivion.esm,0x08DC76,PotionDamageMagicka,X de Sundering II
ALCH,Oblivion.esm,0x08DC78,PotionDamageMagickaS,X de Sundering III
ALCH,Oblivion.esm,0x08DC77,PotionDamageMagickaW,X de Sundering I
ALCH,Oblivion.esm,0x0984A6,PotionDetectLife,Lifesense II
ALCH,Oblivion.esm,0x009230,PotionDetectLifeS,Lifesense III
ALCH,Oblivion.esm,0x00922F,PotionDetectLifeW,Lifesense I
ALCH,Oblivion.esm,0x00927B,PotionDispel,Shedding II
ALCH,Oblivion.esm,0x0984A8,PotionDispelS,Shedding III
ALCH,Oblivion.esm,0x0984A7,PotionDispelW,Shedding I
ALCH,Oblivion.esm,0x00927C,PotionDrainAgility,X en Fumbling II
ALCH,Oblivion.esm,0x0984AA,PotionDrainAgilityS,X en Fumbling III
ALCH,Oblivion.esm,0x0984A9,PotionDrainAgilityW,X en Fumbling I
ALCH,Oblivion.esm,0x00927D,PotionDrainEndurance,X en Frailty II
ALCH,Oblivion.esm,0x0984AC,PotionDrainEnduranceS,X en Frailty III
ALCH,Oblivion.esm,0x0984AB,PotionDrainEnduranceW,X en Frailty I
ALCH,Oblivion.esm,0x00927E,PotionDrainFatigue,X en Tiring II
ALCH,Oblivion.esm,0x0984AE,PotionDrainFatigueS,X en Tiring III
ALCH,Oblivion.esm,0x0984AD,PotionDrainFatigueW,X en Tiring I
ALCH,Oblivion.esm,0x00927F,PotionDrainHealth,X en Wounding II
ALCH,Oblivion.esm,0x098460,PotionDrainHealthS,X en Wounding III
ALCH,Oblivion.esm,0x0984AF,PotionDrainHealthW,X en Wounding I
ALCH,Oblivion.esm,0x009280,PotionDrainIntelligence,X en Idiocy II
ALCH,Oblivion.esm,0x098462,PotionDrainIntelligenceS,X en Idiocy III
ALCH,Oblivion.esm,0x098461,PotionDrainIntelligenceW,X en Idiocy I
ALCH,Oblivion.esm,0x009281,PotionDrainLuck,X en Doom II
ALCH,Oblivion.esm,0x098464,PotionDrainLuckS,X en Doom III
ALCH,Oblivion.esm,0x098463,PotionDrainLuckW,X en Doom I
ALCH,Oblivion.esm,0x009284,PotionDrainMagicka,X en Sundering II
ALCH,Oblivion.esm,0x098466,PotionDrainMagickaS,X en Sundering III
ALCH,Oblivion.esm,0x098465,PotionDrainMagickaW,X en Sundering I
ALCH,Oblivion.esm,0x009282,PotionDrainPersonality,X en Enmity II
ALCH,Oblivion.esm,0x098468,PotionDrainPersonalityS,X en Enmity III
ALCH,Oblivion.esm,0x098467,PotionDrainPersonalityW,X en Enmity I
ALCH,Oblivion.esm,0x009283,PotionDrainSpeed,X en Slowness II
ALCH,Oblivion.esm,0x09846A,PotionDrainSpeedS,X en Slowness III
ALCH,Oblivion.esm,0x098469,PotionDrainSpeedW,X en Slowness I
ALCH,Oblivion.esm,0x009285,PotionDrainStrength,X en Debility II
ALCH,Oblivion.esm,0x09846C,PotionDrainStrengthS,X en Debility III
ALCH,Oblivion.esm,0x09846B,PotionDrainStrengthW,X en Debility I
ALCH,Oblivion.esm,0x056E54,PotionDrainWillpower,X en Apathy II
ALCH,Oblivion.esm,0x056E56,PotionDrainWillpowerS,X en Apathy III
ALCH,Oblivion.esm,0x056E59,PotionDrainWillpowerW,X en Apathy I
ALCH,Oblivion.esm,0x0092E6,PotionFeather,Mule II
ALCH,Oblivion.esm,0x09846E,PotionFeatherS,Mule III
ALCH,Oblivion.esm,0x09846D,PotionFeatherW,Mule I
ALCH,Oblivion.esm,0x0092E7,PotionFireShield,Fire Shield II
ALCH,Oblivion.esm,0x098470,PotionFireShieldS,Fire Shield III
ALCH,Oblivion.esm,0x09846F,PotionFireShieldW,Fire Shield I
ALCH,Oblivion.esm,0x098471,PotionFortifyAgility,Ad Grace II
ALCH,Oblivion.esm,0x0092E9,PotionFortifyAgilityS,Ad Grace III
ALCH,Oblivion.esm,0x0092E8,PotionFortifyAgilityW,Ad Grace I
ALCH,Oblivion.esm,0x098472,PotionFortifyEndurance,Ad Fortitude II
ALCH,Oblivion.esm,0x0092EB,PotionFortifyEnduranceS,Ad Fortitude III
ALCH,Oblivion.esm,0x0092EA,PotionFortifyEnduranceW,Ad Fortitude I
ALCH,Oblivion.esm,0x098473,PotionFortifyFatigue,Brace Fatigue II
ALCH,Oblivion.esm,0x0092ED,PotionFortifyFatigueS,Brace Fatigue III
ALCH,Oblivion.esm,0x0092EC,PotionFortifyFatigueW,Brace Fatigue I
ALCH,Oblivion.esm,0x098474,PotionFortifyHealth,Fool's Brace II
ALCH,Oblivion.esm,0x0092EF,PotionFortifyHealthS,Fool's Brace III
ALCH,Oblivion.esm,0x0092EE,PotionFortifyHealthW,Fool's Brace I
ALCH,Oblivion.esm,0x098475,PotionFortifyIntelligence,Ad Acuity II
ALCH,Oblivion.esm,0x0092F1,PotionFortifyIntelligenceS,Ad Acuity III
ALCH,Oblivion.esm,0x0092F0,PotionFortifyIntelligenceW,Ad Acuity I
ALCH,Oblivion.esm,0x098476,PotionFortifyLuck,Ad Fortune II
ALCH,Oblivion.esm,0x0092F3,PotionFortifyLuckS,Ad Fortune III
ALCH,Oblivion.esm,0x0092F2,PotionFortifyLuckW,Ad Fortune I
ALCH,Oblivion.esm,0x098477,PotionFortifyMagicka,Brace Magicka II
ALCH,Oblivion.esm,0x0092F9,PotionFortifyMagickaS,Brace Magicka III
ALCH,Oblivion.esm,0x0092F8,PotionFortifyMagickaW,Brace Magicka I
ALCH,Oblivion.esm,0x098478,PotionFortifyPersonality,Ad Amity II
ALCH,Oblivion.esm,0x0092F5,PotionFortifyPersonalityS,Ad Amity III
ALCH,Oblivion.esm,0x0092F4,PotionFortifyPersonalityW,Ad Amity I
ALCH,Oblivion.esm,0x098479,PotionFortifySpeed,Ad Alacrity II
ALCH,Oblivion.esm,0x0092F7,PotionFortifySpeedS,Ad Alacrity III
ALCH,Oblivion.esm,0x0092F6,PotionFortifySpeedW,Ad Alacrity I
ALCH,Oblivion.esm,0x09847A,PotionFortifyStrength,Ad Might II
ALCH,Oblivion.esm,0x0092FB,PotionFortifyStrengthS,Ad Might III
ALCH,Oblivion.esm,0x0092FA,PotionFortifyStrengthW,Ad Might I
ALCH,Oblivion.esm,0x056E53,PotionFortifyWillpower,Ad Resolve II
ALCH,Oblivion.esm,0x056E57,PotionFortifyWillpowerS,Ad Resolve III
ALCH,Oblivion.esm,0x056E51,PotionFortifyWillpowerW,Ad Resolve I
ALCH,Oblivion.esm,0x0092FE,PotionFrostShield,Frost Shield II
ALCH,Oblivion.esm,0x09847C,PotionFrostShieldS,Frost Shield III
ALCH,Oblivion.esm,0x09847B,PotionFrostShieldW,Frost Shield I
ALCH,Oblivion.esm,0x0092FF,PotionInvisibility,Distraction II
ALCH,Oblivion.esm,0x09847E,PotionInvisibilityS,Distraction III
ALCH,Oblivion.esm,0x09847D,PotionInvisibilityW,Distraction I
ALCH,Oblivion.esm,0x009300,PotionLight,Seaglow II
ALCH,Oblivion.esm,0x098480,PotionLightS,Seaglow III
ALCH,Oblivion.esm,0x09847F,PotionLightW,Seaglow I
ALCH,Oblivion.esm,0x009301,PotionNighteye,Deadlight II
ALCH,Oblivion.esm,0x098482,PotionNighteyeS,Deadlight III
ALCH,Oblivion.esm,0x098481,PotionNighteyeW,Deadlight I
ALCH,Oblivion.esm,0x009302,PotionParalyze,X Paralysis II
ALCH,Oblivion.esm,0x098484,PotionParalyzeS,X Paralysis III
ALCH,Oblivion.esm,0x098483,PotionParalyzeW,X Paralysis I
ALCH,Oblivion.esm,0x009303,PotionReflect,Reflection II
ALCH,Oblivion.esm,0x098486,PotionReflectS,Reflection III
ALCH,Oblivion.esm,0x098485,PotionReflectW,Reflection I
ALCH,Oblivion.esm,0x009304,PotionResistDisease,Immunity II
ALCH,Oblivion.esm,0x098488,PotionResistDiseaseS,Immunity III
ALCH,Oblivion.esm,0x098487,PotionResistDiseaseW,Immunity I
ALCH,Oblivion.esm,0x009305,PotionResistFire,Insulation II
ALCH,Oblivion.esm,0x098489,PotionResistFireS,Insulation III
ALCH,Oblivion.esm,0x09848A,PotionResistFireW,Insulation I
ALCH,Oblivion.esm,0x009306,PotionResistFrost,Nordskin II
ALCH,Oblivion.esm,0x09848C,PotionResistFrostS,Nordskin III
ALCH,Oblivion.esm,0x09848B,PotionResistFrostW,Nordskin I
ALCH,Oblivion.esm,0x009307,PotionResistMagicka,Ogreskin II
ALCH,Oblivion.esm,0x09848E,PotionResistMagickaS,Ogreskin III
ALCH,Oblivion.esm,0x09848D,PotionResistMagickaW,Ogreskin I
ALCH,Oblivion.esm,0x009308,PotionResistPoison,Antivenom II
ALCH,Oblivion.esm,0x098490,PotionResistPoisonS,Antivenom III
ALCH,Oblivion.esm,0x09848F,PotionResistPoisonW,Antivenom I
ALCH,Oblivion.esm,0x009309,PotionResistShock,Stormskin II
ALCH,Oblivion.esm,0x098492,PotionResistShockS,Stormskin III
ALCH,Oblivion.esm,0x098491,PotionResistShockW,Stormskin I
ALCH,Oblivion.esm,0x098493,PotionRestoreAgility,Res Grace II
ALCH,Oblivion.esm,0x00930B,PotionRestoreAgilityS,Res Grace III
ALCH,Oblivion.esm,0x00930A,PotionRestoreAgilityW,Res Grace I
ALCH,Oblivion.esm,0x098494,PotionRestoreEndurance,Res Fortitude II
ALCH,Oblivion.esm,0x00930D,PotionRestoreEnduranceS,Res Fortitude III
ALCH,Oblivion.esm,0x00930C,PotionRestoreEnduranceW,Res Fortitude I
ALCH,Oblivion.esm,0x098495,PotionRestoreFatigue,Resting II
ALCH,Oblivion.esm,0x00930F,PotionRestoreFatigueS,Resting III
ALCH,Oblivion.esm,0x00930E,PotionRestoreFatigueW,Resting I
ALCH,Oblivion.esm,0x098496,PotionRestoreHealth,Healing II
ALCH,Oblivion.esm,0x009311,PotionRestoreHealthS,Healing III
ALCH,Oblivion.esm,0x009310,PotionRestoreHealthW,Healing I
ALCH,Oblivion.esm,0x098497,PotionRestoreIntelligence,Res Acuity II
ALCH,Oblivion.esm,0x009313,PotionRestoreIntelligenceS,Res Acuity III
ALCH,Oblivion.esm,0x009312,PotionRestoreIntelligenceW,Res Acuity I
ALCH,Oblivion.esm,0x098498,PotionRestoreLuck,Res Fortune II
ALCH,Oblivion.esm,0x009315,PotionRestoreLuckS,Res Fortune III
ALCH,Oblivion.esm,0x009314,PotionRestoreLuckW,Res Fortune I
ALCH,Oblivion.esm,0x098499,PotionRestoreMagicka,Charging II
ALCH,Oblivion.esm,0x00931B,PotionRestoreMagickaS,Charging III
ALCH,Oblivion.esm,0x00931A,PotionRestoreMagickaW,Charging I
ALCH,Oblivion.esm,0x09849A,PotionRestorePersonality,Res Amity II
ALCH,Oblivion.esm,0x009317,PotionRestorePersonalityS,Res Amity III
ALCH,Oblivion.esm,0x009316,PotionRestorePersonalityW,Res Amity I
ALCH,Oblivion.esm,0x09849B,PotionRestoreSpeed,Res Alacrity II
ALCH,Oblivion.esm,0x009319,PotionRestoreSpeedS,Res Alacrity III
ALCH,Oblivion.esm,0x009318,PotionRestoreSpeedW,Res Alacrity I
ALCH,Oblivion.esm,0x09849C,PotionRestoreStrength,Res Might II
ALCH,Oblivion.esm,0x00931D,PotionRestoreStrengthS,Res Might III
ALCH,Oblivion.esm,0x00931C,PotionRestoreStrengthW,Res Might I
ALCH,Oblivion.esm,0x056E55,PotionRestoreWillpower,Res Resolve II
ALCH,Oblivion.esm,0x056E58,PotionRestoreWillpowerS,Res Resolve III
ALCH,Oblivion.esm,0x056E52,PotionRestoreWillpowerW,Res Resolve I
ALCH,Oblivion.esm,0x009AE3,PotionShockShield,Shock Shield II
ALCH,Oblivion.esm,0x009AE4,PotionShockShieldS,Shock Shield III
ALCH,Oblivion.esm,0x009AE0,PotionShockShieldW,Shock Shield I
ALCH,Oblivion.esm,0x009320,PotionSilence,X Silence II
ALCH,Oblivion.esm,0x09849E,PotionSilenceS,X Silence III
ALCH,Oblivion.esm,0x09849D,PotionSilenceW,X Silence I
ALCH,Oblivion.esm,0x009321,PotionSpellAbsorption,Spell Drinker II
ALCH,Oblivion.esm,0x0984A0,PotionSpellAbsorptionS,Spell Drinker III
ALCH,Oblivion.esm,0x09849F,PotionSpellAbsorptionW,Spell Drinker I
ALCH,Oblivion.esm,0x0984A3,PotionWaterBreathing,Gills II
ALCH,Oblivion.esm,0x009325,PotionWaterBreathingS,Gills III
ALCH,Oblivion.esm,0x009324,PotionWaterBreathingW,Gills I
ALCH,Oblivion.esm,0x0984A4,PotionWaterWalking,Seastride II
ALCH,Oblivion.esm,0x009327,PotionWaterWalkingS,Seastride III
ALCH,Oblivion.esm,0x009326,PotionWaterWalkingW,Seastride I
