"Mod Name","ObjectIndex","Editor Id","Level",
"DLCOrrery.esp","0x11DC62","DLCOrreryPower3",7,"Secunda's Will"
"DLCOrrery.esp","0x11DC64","DLCOrreryPower4",7,"Secunda's Opportunity"
"DLCOrrery.esp","0x11DC66","DLCOrreryPower5",7,"Masser's Alacrity"
"DLCOrrery.esp","0x11DC68","DLCOrreryPower6",7,"Secunda's Magnetism"
"DLCOrrery.esp","0x11DC6A","DLCOrreryPower7",7,"Secunda's Brilliance"
"DLCOrrery.esp","0x11DC6C","DLCOrreryPower8",7,"Masser's Courage"
,,,,
"Cobl Main.esm","0x01F449","cobBalrArgonianP",7,
"Cobl Main.esm","0x01F46A","cobBalrAurealP",7,
"Cobl Main.esm","0x013039","cobBalrAurealP1",7,
"Cobl Main.esm","0x013038","cobBalrAurealP2",7,
"Cobl Main.esm","0x01F442","cobBalrBretonP",7,
"Cobl Main.esm","0x01F43E","cobBalrDarkElfP",7,
"Cobl Main.esm","0x001C35","cobBalrDarkElfP2",7,
"Cobl Main.esm","0x004FB3","cobBalrHiddenElfP",7,
"Cobl Main.esm","0x01F440","cobBalrHighElfP",7,
"Cobl Main.esm","0x01F44C","cobBalrImperialP",7,
"Cobl Main.esm","0x01F44A","cobBalrKhajiitP",7,
"Cobl Main.esm","0x013719","cobBalrMazkenP1",7,
"Cobl Main.esm","0x013716","cobBalrMazkenP2",7,
"Cobl Main.esm","0x01F448","cobBalrNordP",7,
"Cobl Main.esm","0x003A19","cobBalrOhmesP",7,
"Cobl Main.esm","0x01F445","cobBalrOrcP",7,
"Cobl Main.esm","0x01F441","cobBalrRedguardP",7,
"Cobl Main.esm","0x001C36","cobBalrRedguardP2",7,
"Cobl Main.esm","0x01F446","cobBalrWoodElfP",7,
"Cobl Main.esm","0x00167A","cobBalrWoodElfP2",8,
"Cobl Main.esm","0x01722A","cobBalrXivilaiP",7,
"Cobl Main.esm","0x01F44E","cobBalsApprenticeP",7,
"Cobl Main.esm","0x01F44D","cobBalsAtronachP",7,
"Cobl Main.esm","0x002128","cobBalsAtronachP3",7,
"Cobl Main.esm","0x01F45B","cobBalsLadyP",7,
"Cobl Main.esm","0x01F456","cobBalsLordP1",7,
"Cobl Main.esm","0x01F457","cobBalsLordP2",7,
"Cobl Main.esm","0x01F458","cobBalsLordP3",7,
"Cobl Main.esm","0x01F459","cobBalsLordP4",7,
"Cobl Main.esm","0x0038FF","cobBalsLordP5",7,
"Cobl Main.esm","0x01F463","cobBalsLoverP1",7,
"Cobl Main.esm","0x01F464","cobBalsLoverP2",7,
"Cobl Main.esm","0x01F467","cobBalsLoverP3",7,
"Cobl Main.esm","0x01F44F","cobBalsMageP",7,
"Cobl Main.esm","0x01F450","cobBalsRitualP",7,
"Cobl Main.esm","0x01F454","cobBalsSerpentP",7,
"Cobl Main.esm","0x01F453","cobBalsShadowP",7,
"Cobl Main.esm","0x01F45D","cobBalsSteedP",7,
"Cobl Main.esm","0x01F460","cobBalsWarriorP2",7,
